"","FID","year","fire_id"
"1","CT36",2017,"CA3623712057320040711"
"2","CT36",2016,"CA3608912052220160809"
"3","CT36",2005,"CA3648912045820050604"
"4","CT36",2004,"CA3650112050920060722"
"5","CT36",2006,"CA3622112046120170703"
"6","CT39",2000,"CA3630911886720001002"
"7","CT39",2005,"CA3651711910820050707"
"8","CT40",2003,"CA3624611854720150719"
"9","CT40",2015,"CA3625811864820161102"
"10","CT40",2003,"CA3626811851120110708"
"11","CT40",2016,"CA3628511842820070827"
"12","CT40",2006,"CA3632211853320090617"
"13","CT40",2003,"CA3632311850620060709"
"14","CT40",2003,"CA3606711840020020721"
"15","CT40",2011,"CA3620811844420130823"
"16","CT40",2017,"CA3622311855820161021"
"17","CT40",2002,"CA3633511841320030824"
"18","CT40",2013,"CA3634711853120030801"
"19","CT40",2016,"CA3644111867320021010"
"20","CT40",2005,"CA3644511863020141020"
"21","CT40",2007,"CA3646511862420051006"
"22","CT40",2014,"CA3646711868820030625"
"23","CT40",2002,"CA3648711874620030927"
"24","CT40",2009,"CA3615911869620170829"
"25","CT40",2017,"CA3627011849820170925"
"26","CT41",2008,"CA3606711840020020721"
"27","CT41",2002,"CA3613311808420080531"
"28","CT41",2017,"CA3621511813520030827"
"29","CT41",2003,"CA3624711830320170803"
"30","CT45",2008,"CA3678111908920010703"
"31","CT45",2001,"CA3679111937120080520"
"32","CT45",2016,"CA3687411890520150801"
"33","CT45",2015,"CA3692911924620161011"
"34","CT46",2008,"CA3670911869520030728"
"35","CT46",2006,"CA3694111881120080719"
"36","CT46",2005,"CA3676911865720060723"
"37","CT46",2003,"CA3678011865020081017"
"38","CT46",2008,"CA3678111908920010703"
"39","CT46",2001,"CA3678311872220100716"
"40","CT46",2010,"CA3680111861920050717"
"41","CT46",2008,"CA3687411890520150801"
"42","CT46",2015,"CA3660311882920080910"
"43","CT50",2006,"CA3694111881120080719"
"44","CT50",2008,"CA3705711928720061201"
"45","CT50",2016,"CA3687411890520150801"
"46","CT50",2015,"CA3692911924620161011"
"47","CT51",2001,"CA3694111881120080719"
"48","CT51",2008,"CA3695911870020010730"
